order_id,created_date,created_time,user_id,website_session_id,primary_product_id,items_purchased,price_usd,cogs_usd,discount_usd,shipping_method,delivery_date
1,2012-03-19,10:42:46,20,20,1,1,49.99,19.49,0.0,Express,2012-03-22
2,2012-03-19,19:27:37,104,104,1,1,49.99,19.49,0.0,Standard,2012-03-25
3,2012-03-20,06:44:45,147,147,1,1,49.99,19.49,0.0,Standard,2012-03-27
4,2012-03-20,09:41:45,160,160,1,1,49.99,19.49,0.0,Standard,2012-03-27
5,2012-03-20,11:28:15,177,177,1,1,49.99,19.49,0.0,Express,2012-03-23
6,2012-03-20,16:12:47,232,232,1,1,49.99,19.49,0.0,Express,2012-03-23
7,2012-03-20,17:03:41,241,241,1,1,49.99,19.49,5.86,Overnight,2012-03-21
8,2012-03-20,23:35:27,295,295,1,1,49.99,19.49,0.0,Standard,2012-03-25
9,2012-03-21,02:35:01,304,304,1,1,49.99,19.49,0.0,Standard,2012-03-28
10,2012-03-21,06:45:58,317,317,1,1,49.99,19.49,0.0,Standard,2012-03-27
11,2012-03-21,07:28:02,321,321,1,1,49.99,19.49,4.38,Standard,2012-03-27
12,2012-03-21,08:21:33,327,327,1,1,49.99,19.49,0.0,Standard,2012-03-27
13,2012-03-21,08:45:32,332,332,1,1,49.99,19.49,0.0,Standard,2012-03-26
14,2012-03-21,09:12:05,336,336,1,1,49.99,19.49,0.0,Standard,2012-03-27
15,2012-03-21,16:40:06,428,428,1,1,49.99,19.49,0.0,Express,2012-03-24
16,2012-03-21,17:13:05,434,434,1,1,49.99,19.49,0.0,Standard,2012-03-27
17,2012-03-21,20:28:11,465,465,1,1,49.99,19.49,0.0,Standard,2012-03-27
18,2012-03-22,06:15:33,507,507,1,1,49.99,19.49,0.0,Express,2012-03-24
19,2012-03-22,10:03:49,536,536,1,1,49.99,19.49,0.0,Overnight,2012-03-23
20,2012-03-22,17:49:57,615,615,1,1,49.99,19.49,0.0,Standard,2012-03-29
21,2012-03-22,20:33:40,639,639,1,1,49.99,19.49,0.0,Overnight,2012-03-23
22,2012-03-23,12:09:46,732,732,1,1,49.99,19.49,17.12,Express,2012-03-25
23,2012-03-23,14:16:23,750,750,1,1,49.99,19.49,0.0,Standard,2012-03-28
24,2012-03-23,17:14:48,783,783,1,1,49.99,19.49,0.0,Standard,2012-03-28
25,2012-03-24,09:21:40,844,844,1,1,49.99,19.49,0.0,Free Shipping,2012-03-30
26,2012-03-25,08:32:41,908,908,1,1,49.99,19.49,0.0,Standard,2012-03-30
27,2012-03-25,08:51:27,909,909,1,1,49.99,19.49,0.0,Standard,2012-03-31
28,2012-03-25,16:00:12,940,940,1,1,49.99,19.49,0.0,Standard,2012-03-30
29,2012-03-25,21:23:16,954,954,1,1,49.99,19.49,0.0,Overnight,2012-03-26
30,2012-03-26,10:03:39,1016,1018,1,1,49.99,19.49,6.35,Express,2012-03-28
31,2012-03-26,10:25:44,1021,1023,1,1,49.99,19.49,0.0,Overnight,2012-03-27
32,2012-03-26,14:13:56,1055,1059,1,1,49.99,19.49,0.0,Express,2012-03-29
33,2012-03-26,16:00:19,1077,1081,1,1,49.99,19.49,10.08,Standard,2012-03-31
34,2012-03-26,17:55:25,1090,1094,1,1,49.99,19.49,0.0,Free Shipping,2012-04-01
35,2012-03-26,18:06:39,1094,1098,1,1,49.99,19.49,0.0,Standard,2012-04-01
36,2012-03-26,18:54:41,1101,1105,1,1,49.99,19.49,0.0,Express,2012-03-29
37,2012-03-26,19:19:25,1103,1107,1,1,49.99,19.49,0.0,Overnight,2012-03-27
